kind,N,phi,gamma,C,lmax,a0_pred,a0_sim,rel_err,log_phi,log_err,log_N,phi_gamma
er,50,0.1422036262203626,0.006974180664595986,0.09028138528138527,5.8623356533449655,0.028430079156516574,0.027226562500000002,0.04420376815900178,-1.9504882289469532,-3.118922618816286,3.912023005428146,0.0009917537804214876
er,50,0.11109677419354838,0.004270655132725176,0.09874081474081475,7.516689286316781,0.022172882278114526,0.0233984375,0.05237765222081495,-2.197344616798732,-2.949256171031343,3.912023005428146,0.0004744560089388873
ba,50,0.3357837837837838,0.013993697962534801,0.1553976023976024,5.6369721144822815,0.029566700576444827,0.027226562500000002,0.08595055201863344,-1.0912848486953832,-2.453971490089625,3.912023005428146,0.004698856850987362
ba,50,0.3793939393939394,0.015699732344835793,0.19274303474303472,5.860578547925314,0.028438602998618258,0.027226562500000002,0.044516838973640366,-0.9691775600152539,-3.1118652943270404,3.912023005428146,0.005956383301737701
ba,50,0.46573913043478254,0.017500066517124102,0.17912138188608775,6.286724861835101,0.026510889267391372,0.027226562500000002,0.02628584613311468,-0.7641274604178636,-3.638686611943523,3.912023005428146,0.008150465762236233
ba,50,0.41017600000000004,0.015633340471638446,0.3092753227164992,5.977822530570912,0.027880832161598007,0.027226562500000002,0.02403056432842025,-0.8911665051255035,-3.7283871323754836,3.912023005428146,0.006412421061294772
ba,50,0.3521265377855887,0.012883583322792491,0.15597733638910108,5.709334700194077,0.02919195938206271,0.027226562500000002,0.07218674344448399,-1.0437618457527462,-2.6284850058805906,3.912023005428146,0.004536651589727071
ba,50,0.3600000000000001,0.015134480786833882,0.09121661998132585,5.780040144421411,0.02883486316743397,0.027226562500000002,0.05907101447103243,-1.0216484697580615,-2.8289979951289936,3.912023005428146,0.005448413083260199
ba,50,0.37412563667232596,0.015696987413154062,0.16653846153846152,5.667221427171509,0.02940888560795999,0.027226562500000002,0.08015419162665091,-0.9831609381517505,-2.523790628142205,3.912023005428146,0.0058726454097837505
ba,50,0.45628318584070787,0.016305352653219085,0.229979686979687,6.163696947775669,0.027040048866583666,0.027226562500000002,0.0068504290035268315,-0.7846394490223438,-4.983298034811254,3.912023005428146,0.007439858254867043
ba3,50,0.363808,0.010833375422133251,0.20549237168060697,8.320113372798879,0.020031778318256276,0.0195703125,0.02357989011449237,-1.0111262743366063,-3.7473186358791692,3.912023005428146,0.003941268645575454
ba3,50,0.3096875,0.007209972498986694,0.1930985680985681,7.743823361434023,0.021522529490626562,0.0195703125,0.09975400191624754,-1.1721883254014893,-2.305038079945574,3.912023005428146,0.0022328383582799417
ba3,50,0.26024186046511627,0.0072220490056464914,0.1797179421885304,7.4682379421934755,0.022316732267600392,0.0233984375,0.04622980625948244,-1.346140005234672,-3.074108900954924,3.912023005428146,0.0018794794695996858
ba3,50,0.2886940966010733,0.009870733907269003,0.14593621084797553,7.899047489807183,0.021099590410328706,0.0195703125,0.07814274352178624,-1.2423841768666521,-2.5492052826222076,3.912023005428146,0.0028496226081486074
ba3,50,0.312076124567474,0.007245287196879557,0.1647426788897377,7.979716622649928,0.020886288893216302,0.0195703125,0.06724350432402668,-1.1645049275935695,-2.6994199839282795,3.912023005428146,0.0022610811497805095
